Date,Close
1/2/2019 16:00:00,32.43
1/3/2019 16:00:00,31.45
1/4/2019 16:00:00,32.21
1/7/2019 16:00:00,32.76
1/8/2019 16:00:00,33.71
1/9/2019 16:00:00,34.18
1/10/2019 16:00:00,34.47
1/11/2019 16:00:00,34.49
1/14/2019 16:00:00,34.27
1/15/2019 16:00:00,34.41
1/16/2019 16:00:00,34.5
1/17/2019 16:00:00,34.81
1/18/2019 16:00:00,35.29
1/22/2019 16:00:00,34.78
1/23/2019 16:00:00,34.97
1/24/2019 16:00:00,35.23
1/25/2019 16:00:00,35.81
1/28/2019 16:00:00,35.5
1/29/2019 16:00:00,35.09
1/30/2019 16:00:00,35.27
1/31/2019 16:00:00,35.64
2/1/2019 16:00:00,37.24
2/4/2019 16:00:00,37.6
2/5/2019 16:00:00,37.69
2/6/2019 16:00:00,37.48
2/7/2019 16:00:00,36.94
2/8/2019 16:00:00,37.03
2/11/2019 16:00:00,36.7
2/12/2019 16:00:00,36.86
2/13/2019 16:00:00,37.06
2/14/2019 16:00:00,37.41
2/15/2019 16:00:00,37.56
2/19/2019 16:00:00,37.54
2/20/2019 16:00:00,37.68
2/21/2019 16:00:00,37.41
2/22/2019 16:00:00,37.89
2/25/2019 16:00:00,38.08
2/26/2019 16:00:00,38.2
2/27/2019 16:00:00,38.37
2/28/2019 16:00:00,37.92
3/1/2019 16:00:00,38.07
3/4/2019 16:00:00,37.86
3/5/2019 16:00:00,37.82
3/6/2019 16:00:00,37.87
3/7/2019 16:00:00,37.6
3/8/2019 16:00:00,37.57
3/11/2019 16:00:00,37.74
3/12/2019 16:00:00,38.02
3/13/2019 16:00:00,38
3/14/2019 16:00:00,37.89
3/15/2019 16:00:00,38.1
3/18/2019 16:00:00,38.15
3/19/2019 16:00:00,38.38
3/20/2019 16:00:00,37.85
3/21/2019 16:00:00,38.15
3/22/2019 16:00:00,37.44
3/25/2019 16:00:00,37.51
3/26/2019 16:00:00,37.74
3/27/2019 16:00:00,37.9
3/28/2019 16:00:00,38.48
3/29/2019 16:00:00,38.43
4/1/2019 16:00:00,38.55
4/2/2019 16:00:00,38.46
4/3/2019 16:00:00,38.67
4/4/2019 16:00:00,38.07
4/5/2019 16:00:00,38.47
4/8/2019 16:00:00,38.28
4/9/2019 16:00:00,38.57
4/10/2019 16:00:00,38.46
4/11/2019 16:00:00,38.62
4/12/2019 16:00:00,38.82
4/15/2019 16:00:00,38.61
4/16/2019 16:00:00,38.71
4/17/2019 16:00:00,38.05
4/18/2019 16:00:00,38.08
4/22/2019 16:00:00,37.94
4/23/2019 16:00:00,38.12
4/24/2019 16:00:00,38.14
4/25/2019 16:00:00,38.35
4/26/2019 16:00:00,38.42
4/29/2019 16:00:00,38.27
4/30/2019 16:00:00,38.45
5/1/2019 16:00:00,38.44
5/2/2019 16:00:00,39.75
5/3/2019 16:00:00,40.29
5/6/2019 16:00:00,40.2
5/7/2019 16:00:00,39.32
5/8/2019 16:00:00,40.24
5/9/2019 16:00:00,40.22
5/10/2019 16:00:00,40.35
5/13/2019 16:00:00,39.59
5/14/2019 16:00:00,39.72
5/15/2019 16:00:00,39.93
5/16/2019 16:00:00,40.3
5/17/2019 16:00:00,40.8
5/20/2019 16:00:00,40.43
5/21/2019 16:00:00,40.94
5/22/2019 16:00:00,41.03
5/23/2019 16:00:00,40.35
5/24/2019 16:00:00,40.47
5/28/2019 16:00:00,40.57
5/29/2019 16:00:00,39.9
5/30/2019 16:00:00,39.76
5/31/2019 16:00:00,39.72
6/3/2019 16:00:00,39
6/4/2019 16:00:00,39.59
6/5/2019 16:00:00,40.11
6/6/2019 16:00:00,40.75
6/7/2019 16:00:00,41.11
6/10/2019 16:00:00,41.28
6/11/2019 16:00:00,40.99
6/12/2019 16:00:00,41.27
6/13/2019 16:00:00,41.36
6/14/2019 16:00:00,41.26
6/17/2019 16:00:00,40.84
6/18/2019 16:00:00,41.23
6/19/2019 16:00:00,41.34
6/20/2019 16:00:00,41.57
6/21/2019 16:00:00,41.14
6/24/2019 16:00:00,41.67
6/25/2019 16:00:00,40.89
6/26/2019 16:00:00,41.03
6/27/2019 16:00:00,41.19
6/28/2019 16:00:00,41.2
7/1/2019 16:00:00,41.36
7/2/2019 16:00:00,41.88
7/3/2019 13:00:00,42.33
7/5/2019 16:00:00,42
7/8/2019 16:00:00,41.83
7/9/2019 16:00:00,42.45
7/10/2019 16:00:00,42.56
7/11/2019 16:00:00,42.95
7/12/2019 16:00:00,42.5
7/15/2019 16:00:00,42.75
7/16/2019 16:00:00,42.44
7/17/2019 16:00:00,42.52
7/18/2019 16:00:00,42.68
7/19/2019 16:00:00,42.73
7/22/2019 16:00:00,43.38
7/23/2019 16:00:00,43.22
